```csv
Timestamp,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,Is_Doji,Pattern
2023-12-20 09:15:00,1645.10,1646.00,1644.50,1644.80,350000,55.12,0.00,0.00,FALSE,
2023-12-20 09:16:00,1644.80,1645.20,1643.50,1643.80,280000,48.30,-0.08,-0.02,FALSE,Initial Bearish Trend
2023-12-20 10:00:00,1640.50,1641.00,1639.80,1640.20,150000,35.15,-0.45,-0.25,TRUE,Consolidation
2023-12-20 11:29:00,1638.50,1639.00,1638.00,1638.20,210000,29.80,-0.75,-0.50,FALSE,
2023-12-20 11:30:00,1638.20,1642.00,1638.10,1641.80,450000,45.60,-0.60,-0.52,FALSE,Bullish Engulfing Reversal
2023-12-20 11:31:00,1641.80,1643.50,1641.70,1643.20,380000,51.20,-0.48,-0.51,FALSE,Strong Bullish Trend
2023-12-20 13:28:00,1654.80,1655.00,1654.50,1654.90,190000,70.50,0.85,0.75,TRUE,
2023-12-20 13:29:00,1654.90,1655.20,1654.00,1654.10,220000,68.90,0.83,0.77,FALSE,Shooting Star
2023-12-20 13:30:00,1654.10,1654.20,1653.00,1653.20,250000,65.10,0.78,0.77,FALSE,Bearish Reversal
2023-12-20 14:30:00,1652.50,1652.80,1651.50,1651.80,180000,55.40,0.40,0.65,FALSE,
2023-12-20 15:28:00,1641.50,1641.80,1640.50,1640.80,320000,38.20,-0.55,-0.30,FALSE,
2023-12-20 15:29:00,1640.80,1641.20,1639.80,1640.10,410000,37.10,-0.60,-0.35,FALSE,Late-Day Bearish Trend
```
