```csv
Date,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Hist,Doji,Pattern
2024-06-10 09:15:00,2955.0,2964.0,2951.2,2962.0,358769,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:16:00,2961.5,2962.0,2957.1,2957.1,139996,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:17:00,2957.1,2962.0,2957.1,2961.4,124823,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:18:00,2961.4,2963.8,2960.25,2962.4,85942,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:19:00,2962.4,2965.0,2962.4,2965.0,85489,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:20:00,2965.0,2965.0,2961.1,2961.5,84677,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:21:00,2961.5,2961.5,2958.3,2959.0,89136,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:22:00,2959.0,2961.8,2959.0,2960.0,73531,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:23:00,2960.0,2960.0,2955.15,2956.9,104838,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:24:00,2956.9,2958.8,2956.0,2958.8,76709,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:25:00,2958.8,2959.8,2957.5,2959.0,72398,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:26:00,2959.0,2960.0,2958.0,2959.5,69324,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:27:00,2959.5,2961.4,2959.5,2960.0,52951,nan,nan,nan,nan,False,No Pattern
2024-06-10 09:28:00,2960.0,2961.5,2959.6,2960.5,60787,49.19,0.37,0.11,0.26,False,No Pattern
2024-06-10 09:29:00,2960.5,2960.8,2959.0,2959.4,59804,47.08,0.34,0.16,0.18,False,No Pattern
2024-06-10 09:30:00,2959.4,2960.0,2958.0,2958.5,70331,45.41,0.24,0.17,0.06,False,No Pattern
2024-06-10 09:31:00,2958.5,2959.8,2958.1,2959.0,46623,46.7,0.2,0.18,0.02,False,No Pattern
2024-06-10 09:32:00,2959.0,2960.0,2958.8,2960.0,54457,49.27,0.24,0.19,0.05,False,No Pattern
2024-06-10 09:33:00,2960.0,2961.0,2959.5,2960.8,50689,51.27,0.34,0.22,0.12,False,No Pattern
2024-06-10 09:34:00,2960.8,2962.0,2960.8,2961.9,64227,53.92,0.52,0.28,0.24,False,No Pattern
2024-06-10 09:35:00,2961.9,2963.0,2961.8,2962.5,72023,55.4,0.72,0.37,0.35,False,No Pattern
2024-06-10 09:36:00,2962.5,2963.0,2961.5,2962.0,60155,54.06,0.81,0.46,0.35,False,No Pattern
2024-06-10 09:37:00,2962.0,2962.5,2961.1,2962.1,51446,54.34,0.87,0.54,0.33,False,No Pattern
2024-06-10 09:38:00,2962.1,2962.2,2960.3,2960.5,58273,50.39,0.78,0.59,0.19,False,No Pattern
2024-06-10 09:39:00,2960.5,2961.0,2959.0,2959.5,84435,48.16,0.62,0.6,0.02,False,No Pattern
2024-06-10 09:40:00,2959.5,2960.0,2959.0,2959.8,50980,48.97,0.52,0.58,-0.06,False,No Pattern
2024-06-10 09:41:00,2959.8,2960.0,2958.8,2959.0,50974,47.2,0.39,0.54,-0.15,False,No Pattern
2024-06-10 09:42:00,2959.0,2960.0,2958.5,2960.0,47728,50.0,0.35,0.5,-0.15,False,No Pattern
2024-06-10 09:43:00,2960.0,2960.0,2958.1,2958.5,62227,46.77,0.22,0.45,-0.23,False,No Pattern
...
2024-06-10 15:18:00,2990.0,2990.4,2989.15,2989.5,79895,62.83,2.02,1.96,0.06,False,No Pattern
2024-06-10 15:19:00,2989.5,2989.5,2988.0,2988.3,73295,59.98,1.86,1.94,-0.08,False,No Pattern
2024-06-10 15:20:00,2988.3,2989.0,2988.0,2988.5,64969,60.39,1.74,1.9,-0.16,False,No Pattern
2024-06-10 15:21:00,2988.5,2989.9,2988.5,2989.9,78881,63.17,1.73,1.86,-0.13,False,No Pattern
2024-06-10 15:22:00,2989.9,2991.0,2989.9,2990.8,92497,65.02,1.8,1.85,-0.05,False,No Pattern
2024-06-10 15:23:00,2990.8,2992.0,2990.8,2991.5,116068,66.44,1.9,1.86,0.04,False,No Pattern
2024-06-10 15:24:00,2991.5,2992.0,2991.0,2991.8,87943,67.06,1.98,1.88,0.1,False,No Pattern
2024-06-10 15:25:00,2991.8,2992.5,2991.5,2992.0,91790,67.45,2.05,1.92,0.13,False,No Pattern
2024-06-10 15:26:00,2992.0,2993.0,2992.0,2992.8,131023,69.05,2.17,1.97,0.2,False,No Pattern
2024-06-10 15:27:00,2992.8,2993.8,2992.5,2993.0,165747,69.43,2.27,2.03,0.24,False,No Pattern
2024-06-10 15:28:00,2993.0,2993.0,2991.8,2992.5,129218,67.8,2.29,2.08,0.21,False,No Pattern
2024-06-10 15:29:00,2992.5,2995.0,2992.5,2995.0,268571,72.29,2.5,2.16,0.34,False,No Pattern
2024-06-10 15:30:00,2995.0,2995.0,2992.5,2992.5,268571,65.61,2.49,2.23,0.26,False,No Pattern
```
