timestamp,open,high,low,close,volume
2024-05-16 09:15:00+05:30,647.0,647.4,646.0,646.7,13755
2024-05-16 09:16:00+05:30,646.65,647.0,646.4,646.85,8100
2024-05-16 09:17:00+05:30,646.85,647.0,646.5,646.95,6169
2024-05-16 09:18:00+05:30,646.95,647.1,646.6,647.0,5974
2024-05-16 09:19:00+05:30,647.0,647.1,646.7,646.85,4960
2024-05-16 09:20:00+05:30,646.85,647.0,646.65,646.8,5052
2024-05-16 09:21:00+05:30,646.8,647.0,646.7,646.85,4226
2024-05-16 09:22:00+05:30,646.85,647.0,646.6,646.6,5553
2024-05-16 09:23:00+05:30,646.6,646.75,646.3,646.45,5940
2024-05-16 09:24:00+05:30,646.45,646.7,646.3,646.6,6734
2024-05-16 09:25:00+05:30,646.6,646.7,646.3,646.45,6978
2024-05-16 09:26:00+05:30,646.45,646.5,646.1,646.15,5355
2024-05-16 09:27:00+05:30,646.15,646.4,646.0,646.25,5472
2024-05-16 09:28:00+05:30,646.25,646.35,646.1,646.1,4451
2024-05-16 09:29:00+05:30,646.1,646.3,646.0,646.25,4689
2024-05-16 09:30:00+05:30,646.25,646.4,646.15,646.2,4397
2024-05-16 09:31:00+05:30,646.2,646.4,646.1,646.3,4936
2024-05-16 09:32:00+05:30,646.3,646.4,646.15,646.3,3579
2024-05-16 09:33:00+05:30,646.3,646.4,646.1,646.1,4352
2024-05-16 09:34:00+05:30,646.1,646.2,645.9,646.05,4858
2024-05-16 09:35:00+05:30,646.05,646.15,645.8,645.8,6603
2024-05-16 09:36:00+05:30,645.8,645.9,645.5,645.55,7960
2024-05-16 09:37:00+05:30,645.55,645.7,645.4,645.55,5536
2024-05-16 09:38:00+05:30,645.55,645.7,645.45,645.55,4317
2024-05-16 09:39:00+05:30,645.55,645.6,645.35,645.4,4482
2024-05-16 09:40:00+05:30,645.4,645.6,645.3,645.45,4627
2024-05-16 09:41:00+05:30,645.45,645.7,645.3,645.65,6403
2024-05-16 09:42:00+05:30,645.65,645.7,645.4,645.55,4461
2024-05-16 09:43:00+05:30,645.55,645.7,645.45,645.65,4172
2024-05-16 09:44:00+05:30,645.65,645.75,645.5,645.7,3733
2024-05-16 09:45:00+05:30,645.7,645.75,645.45,645.5,4561
2024-05-16 09:46:00+05:30,645.5,645.65,645.3,645.35,4609
2024-05-16 09:47:00+05:30,645.35,645.5,645.2,645.3,5506
2024-05-16 09:48:00+05:30,645.3,645.4,645.1,645.15,5214
2024-05-16 09:49:00+05:30,645.15,645.3,645.0,645.25,5100
2024-05-16 09:50:00+05:30,645.25,645.4,645.1,645.25,4614
2024-05-16 09:51:00+05:30,645.25,645.4,645.15,645.25,4485
2024-05-16 09:52
